security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale,research_priority,required_source_standard,research_question,resolution_category,sample_authoritative_company_name,sample_authoritative_cik,predecessor_public_company_name,predecessor_public_cik,legal_effective_date,public_effective_date,post_sample_effective_date,excluded_name,excluded_name_reason,source_type,source_url,evidence_note,production_implication,stage3g_resolution_status,resolution_confidence
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,0002041610,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE,1,1,1,1,NEW PLUTO GLOBAL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,Paramount Skydance Corporation,0002041610,,,2025-08-07,2025-08-07,,"New Pluto Global, Inc.",Transaction holding shell formed to consummate the Paramount/Skydance transaction; renamed at closing.,SEC_8K12B,https://www.sec.gov/Archives/edgar/data/2041610/000119312525175046/d841914d8k12b.htm,"At the 2025-08-07 closing, New Pluto Global was renamed Paramount Skydance Corporation and became the transaction holding company.",EXCLUDE_NEW_PLUTO_GLOBAL; USE_PARAMOUNT_SKYDANCE_DURING_PUBLIC_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
Q,Q,Qnity Electronics,0002058873,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Qnity Electronics, Inc.",QNITY ELECTRONICS,Qnity Electronics Inc,QNITY ELECTRONICS,1,1,1,1,NOVUS SPINCO 1,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,"Qnity Electronics, Inc.",0002058873,,,2025-10-13,2025-11-03,,"Novus SpinCo 1, Inc.",Pre-separation spin company name; Qnity became independent on 2025-11-01 and regular-way trading began 2025-11-03.,SEC_CERTIFICATE_AND_8K,https://www.sec.gov/Archives/edgar/data/2058873/000119312525261603/d65598dex32.htm|https://www.sec.gov/Archives/edgar/data/2058873/000119312525261603/d65598d8k.htm,Original company name was Novus SpinCo 1; amended certificate under Qnity name filed 2025-10-13. Qnity became independent on 2025-11-01 and began regular-way NYSE trading as Q on 2025-11-03.,EXCLUDE_NOVUS_SPINCO_1; USE_QNITY_ELECTRONICS_DURING_PUBLIC_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
SCHW,SCHW,SCHWAB (CHARLES) CORP,0000316709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SCHWAB CHARLES CORP,SCHWAB CHARLES,Charles Schwab Corp/The,CHARLES SCHWAB,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_WORD_ORDER_VARIANT,The Charles Schwab Corporation,0000316709,,,,,,SCHWAB CHARLES CORP|Charles Schwab Corp/The,SEC conformed-name word order and trailing 'The' presentation; stable public issuer.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000316709.json,SEC conformed-name word order and trailing 'The' presentation; stable public issuer.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
SNDK,SNDK,Sandisk,0002023554,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Sandisk Corp,SANDISK,Sandisk Corp/DE,SANDISK CORP DE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,JURISDICTION_LABEL_VARIANT_PUBLIC_SPIN,Sandisk Corporation,0002023554,,,,2025-02-24,,Sandisk Corp/DE,NPORT jurisdiction label; not a rename.,SEC_SUBMISSIONS_PLUS_PUBLIC_SPIN_IDENTITY,https://data.sec.gov/submissions/CIK0002023554.json,Sandisk became an independent public company in February 2025; /DE is a source/jurisdiction qualifier rather than a separate attention-name state.,USE_SANDISK_DURING_MEMBERSHIP; NO_RENAME_INTERVAL_FROM_DE_QUALIFIER,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
SOLV,SOLV,Solventum,0001964738,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Solventum Corp,SOLVENTUM,Solventum Corp,SOLVENTUM,1,1,1,1,3M HEALTH CARE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,Solventum Corporation,0001964738,,,2024-04-01,2024-04-01,,3M Health Care Company,Pre-spin corporate name; changed to Solventum at the same effective time the spin-off became effective.,SEC_CERTIFICATE_AND_8K,https://www.sec.gov/Archives/edgar/data/1964738/000162828024014887/exhibit31-8xk.htm|https://www.sec.gov/Archives/edgar/data/1964738/000162828024014887/solventum-closing8xk4324.htm,"The amended certificate changed 3M Health Care Company to Solventum Corporation effective 3:30 a.m. ET on 2024-04-01, when the separation also became effective.",EXCLUDE_3M_HEALTH_CARE_COMPANY_AS_PUBLIC_ATTENTION_ALIAS; USE_SOLVENTUM_DURING_PUBLIC_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,0001137789,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Seagate Technology Holdings plc,SEAGATE TECHNOLOGY HOLDINGS,Seagate Technology Holdings PLC|Seagate Technology PLC,SEAGATE TECHNOLOGY|SEAGATE TECHNOLOGY HOLDINGS,2,0,1,1,SEAGATE TECHNOLOGY,0,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Multiple authoritative historical NPORT issuer-name states remain and must be resolved from primary evidence.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PUBLIC_BRAND_CONTINUITY_HOLDING_COMPANY_REORG,Seagate Technology Holdings plc,0001137789,Seagate Technology plc,0001137789,2021-05-18,2021-05-18,,,,SEC_8K_AND_SCHEME_DOCUMENT,https://www.sec.gov/Archives/edgar/data/1137789/000119312521165970/d247184d8k.htm,"Irish scheme became effective after market close on 2021-05-18, making Seagate Technology Holdings plc the public parent while Seagate Technology plc became its subsidiary.",RETAIN_LEGAL_STATE_TRANSITION; PUBLIC_BRAND_SEAGATE_TECHNOLOGY_CONTINUITY; FINAL_ALIAS_POLICY_NOT_YET_FROZEN,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
TJX,TJX,TJX COMPANIES INC,,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,,,TJX Cos Inc/The,TJX COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,MISSING_CIK_MAPPING_RESOLVED,"The TJX Companies, Inc.",0000109198,,,,,,TJX Cos Inc/The,NPORT display abbreviation; Stage 3F CIK was missing but official SEC 10-K resolves the identity.,SEC_10K,https://www.sec.gov/Archives/edgar/data/109198/000010919825000010/tjx-20250201.htm,"Official 2025 10-K identifies The TJX Companies, Inc., CIK 0000109198, ticker TJX.",FIX_SAMPLE_CIK_TO_0000109198; SINGLE_STABLE_PUBLIC_IDENTITY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
TKO,TKO,TKO Group Holdings,0001973266,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"TKO Group Holdings, Inc.",TKO GROUP HOLDINGS,TKO Group Holdings Inc,TKO GROUP HOLDINGS,1,1,1,1,NEW WHALE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,"TKO Group Holdings, Inc.",0001973266,,,2023-09-12,2023-09-12,,New Whale Inc.,Transaction holding company name immediately replaced at WWE/UFC combination closing.,SEC_8K_AND_CERTIFICATE,https://www.sec.gov/Archives/edgar/data/1973266/000119312523233543/d488581d8k.htm|https://www.sec.gov/Archives/edgar/data/1973266/000119312523233444/d476174dex41.htm,New Whale became TKO Group Holdings at the 2023-09-12 business-combination closing.,EXCLUDE_NEW_WHALE; USE_TKO_GROUP_HOLDINGS_DURING_PUBLIC_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
WBD,WBD,Warner Bros. Discovery,0001437107,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Warner Bros. Discovery, Inc.",WARNER BROS DISCOVERY,Warner Bros Discovery Inc,WARNER BROS DISCOVERY,1,1,1,1,DISCOVERY,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_NAME_TRANSITION,"Warner Bros. Discovery, Inc.",0001437107,"Discovery, Inc.",0001437107,2022-04-08,2022-04-11,,,,SEC_10K,https://www.sec.gov/Archives/edgar/data/1437107/000143710725000031/wbd-20241231.htm,Discovery completed the WarnerMedia merger and changed its name to Warner Bros. Discovery on 2022-04-08; WBD trading began 2022-04-11.,PIT_ATTENTION_NAME_TRANSITION_REQUIRED: DISCOVERY_TO_WARNER_BROS_DISCOVERY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
WFC,WFC,WELLS FARGO + CO,0000072971,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,WELLS FARGO & COMPANY/MN,WELLS FARGO AND COMPANY MN,Wells Fargo & Co,WELLS FARGO AND,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,JURISDICTION_OR_SOURCE_LABEL_VARIANT,Wells Fargo & Company,0000072971,,,,,,WELLS FARGO & COMPANY/MN|Wells Fargo & Co,Jurisdiction/abbreviation presentation; no substantive 2021-2025 name transition.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000072971.json,Jurisdiction/abbreviation presentation; no substantive 2021-2025 name transition.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
WRB,WRB,WR BERKLEY CORP,0000011544,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,BERKLEY W R CORP,BERKLEY W R,W R Berkley Corp,W R BERKLEY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_WORD_ORDER_VARIANT,W. R. Berkley Corporation,0000011544,,,,,,BERKLEY W R CORP|W R Berkley Corp,SEC conformed-name word order versus public/legal word order.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000011544.json,SEC conformed-name word order versus public/legal word order.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
XOM,XOM,EXXONMOBIL HOLDINGS CORP,0002115436,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ExxonMobil Holdings Corp,EXXONMOBIL HOLDINGS,Exxon Mobil Corp,EXXON MOBIL,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,POST_SAMPLE_HOLDING_COMPANY_REORG_CURRENT_REFERENCE_NOT_PIT,Exxon Mobil Corporation,0000034088,,,,,2026-07-01,ExxonMobil Holdings Corporation / CIK 0002115436,Successor public parent created by a 2026 redomiciliation after the H3 sample; current-reference identity must not be backcast into 2021-2025.,SEC_2025_10K_AND_2026_SUCCESSOR_8K,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm|https://www.sec.gov/Archives/edgar/data/2115436/000119312526291990/d71068d8k12b.htm,"Exxon Mobil Corporation, CIK 0000034088, remained the public issuer through 2025. ExxonMobil Holdings became the public parent only on 2026-07-01.",CRITICAL_PIT_IDENTITY_CORRECTION: USE_EXXON_MOBIL_CORPORATION_CIK_0000034088_FOR_2021_2025; EXCLUDE_2026_HOLDINGS_PARENT,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
XYL,XYL,XYLEM INC,0001524472,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Xylem Inc.,XYLEM,Xylem Inc/NY,XYLEM INC NY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,JURISDICTION_OR_SOURCE_LABEL_VARIANT,Xylem Inc.,0001524472,,,,,,Xylem Inc.|Xylem Inc/NY,Jurisdiction presentation only.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0001524472.json,Jurisdiction presentation only.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
XYZ,XYZ,Block,0001512673,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Block, Inc.",BLOCK,Block Inc,BLOCK,1,1,1,1,SQUARE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_NAME_TRANSITION_DUAL_DATE,"Block, Inc.",0001512673,"Square, Inc.",0001512673,2021-12-10,2021-12-01,,,,SEC_10K_AND_8K,https://www.sec.gov/Archives/edgar/data/1512673/000162828022003825/sq-20211231.htm|https://www.sec.gov/Archives/edgar/data/1512673/000119312521354007/d270905d8k.htm,"Company disclosures describe the public/corporate identity change from Square to Block beginning 2021-12-01, while the Delaware certificate amendment became effective 2021-12-10. Preserve both dates.",PIT_ATTENTION_NAME_TRANSITION_REQUIRED; TRANSITION_MONTH_POLICY_MUST_HANDLE_PUBLIC_VS_LEGAL_DATE_DIFFERENCE,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
