security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,project_name_exact,project_name_legal_core,sec_current_name,sec_current_name_exact,sec_current_name_legal_core,nport_raw_names_pipe,nport_exact_names_pipe,nport_legal_cores_pipe,nport_legal_core_count,true_transition_count,false_transition_count,all_nport_states_explained_by_transition_flag,project_period_sec_former_name_count,reconciliation_status,reconciliation_rationale,research_priority,required_source_standard,research_question
MPWR,MPWR,Monolithic Power Systems,0001280452,MONOLITHIC POWER SYSTEMS,MONOLITHIC POWER SYSTEMS,"MONOLITHIC POWER SYSTEMS, INC.",MONOLITHIC POWER SYSTEMS INC,MONOLITHIC POWER SYSTEMS,Monolithic Power Systems Inc,MONOLITHIC POWER SYSTEMS INC,MONOLITHIC POWER SYSTEMS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
MS,MS,MORGAN STANLEY,0000895421,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,MORGAN STANLEY,Morgan Stanley,MORGAN STANLEY,MORGAN STANLEY,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
NRG,NRG,NRG ENERGY INC,0001013871,NRG ENERGY INC,NRG ENERGY,"NRG ENERGY, INC.",NRG ENERGY INC,NRG ENERGY,NRG Energy Inc,NRG ENERGY INC,NRG ENERGY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
PANW,PANW,Palo Alto Networks,0001327567,PALO ALTO NETWORKS,PALO ALTO NETWORKS,Palo Alto Networks Inc,PALO ALTO NETWORKS INC,PALO ALTO NETWORKS,Palo Alto Networks Inc,PALO ALTO NETWORKS INC,PALO ALTO NETWORKS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
PCG,PCG,PG&E,0001004980,PG AND E,PG AND E,PG&E Corp,PG AND E CORP,PG AND E,PG&E Corp,PG AND E CORP,PG AND E,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
PFE,PFE,PFIZER INC,0000078003,PFIZER INC,PFIZER,PFIZER INC,PFIZER INC,PFIZER,Pfizer Inc,PFIZER INC,PFIZER,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
PH,PH,PARKER HANNIFIN CORP,0000076334,PARKER HANNIFIN CORP,PARKER HANNIFIN,Parker-Hannifin Corp,PARKER HANNIFIN CORP,PARKER HANNIFIN,Parker-Hannifin Corp,PARKER HANNIFIN CORP,PARKER HANNIFIN,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,0002041610,PARAMOUNT SKYDANCE CL B,PARAMOUNT SKYDANCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE CORP,PARAMOUNT SKYDANCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE CORP,PARAMOUNT SKYDANCE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
Q,Q,Qnity Electronics,0002058873,QNITY ELECTRONICS,QNITY ELECTRONICS,"Qnity Electronics, Inc.",QNITY ELECTRONICS INC,QNITY ELECTRONICS,Qnity Electronics Inc,QNITY ELECTRONICS INC,QNITY ELECTRONICS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ROP,ROP,ROPER TECHNOLOGIES INC,0000882835,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,Roper Technologies Inc,ROPER TECHNOLOGIES INC,ROPER TECHNOLOGIES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
SO,SO,SOUTHERN CO/THE,0000092122,SOUTHERN CO THE,SOUTHERN CO THE,SOUTHERN CO,SOUTHERN CO,SOUTHERN,Southern Co/The,SOUTHERN CO THE,SOUTHERN CO THE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
SOLV,SOLV,Solventum,0001964738,SOLVENTUM,SOLVENTUM,Solventum Corp,SOLVENTUM CORP,SOLVENTUM,Solventum Corp,SOLVENTUM CORP,SOLVENTUM,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
SPG,SPG,SIMON PROPERTY GROUP INC,0001063761,SIMON PROPERTY GROUP INC,SIMON PROPERTY GROUP,SIMON PROPERTY GROUP INC.,SIMON PROPERTY GROUP INC,SIMON PROPERTY GROUP,Simon Property Group Inc,SIMON PROPERTY GROUP INC,SIMON PROPERTY GROUP,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
STLD,STLD,Steel Dynamics,0001022671,STEEL DYNAMICS,STEEL DYNAMICS,STEEL DYNAMICS INC,STEEL DYNAMICS INC,STEEL DYNAMICS,Steel Dynamics Inc,STEEL DYNAMICS INC,STEEL DYNAMICS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
STT,STT,STATE STREET CORP,0000093751,STATE STREET CORP,STATE STREET,STATE STREET CORP,STATE STREET CORP,STATE STREET,State Street Corp,STATE STREET CORP,STATE STREET,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
SW,SW,SMURFIT WESTROCK PLC,0002005951,SMURFIT WESTROCK PLC,SMURFIT WESTROCK,Smurfit Westrock plc,SMURFIT WESTROCK PLC,SMURFIT WESTROCK,Smurfit WestRock PLC,SMURFIT WESTROCK PLC,SMURFIT WESTROCK,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
SYF,SYF,SYNCHRONY FINANCIAL,0001601712,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,Synchrony Financial,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,Synchrony Financial,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
TEL,TEL,TE CONNECTIVITY PLC,0001385157,TE CONNECTIVITY PLC,TE CONNECTIVITY,TE Connectivity plc,TE CONNECTIVITY PLC,TE CONNECTIVITY,TE Connectivity Ltd|TE Connectivity PLC,TE CONNECTIVITY LTD|TE CONNECTIVITY PLC,TE CONNECTIVITY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
TKO,TKO,TKO Group Holdings,0001973266,TKO GROUP HOLDINGS,TKO GROUP HOLDINGS,"TKO Group Holdings, Inc.",TKO GROUP HOLDINGS INC,TKO GROUP HOLDINGS,TKO Group Holdings Inc,TKO GROUP HOLDINGS INC,TKO GROUP HOLDINGS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
TRGP,TRGP,Targa Resources,0001389170,TARGA RESOURCES,TARGA RESOURCES,Targa Resources Corp.,TARGA RESOURCES CORP,TARGA RESOURCES,Targa Resources Corp,TARGA RESOURCES CORP,TARGA RESOURCES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
WBD,WBD,Warner Bros. Discovery,0001437107,WARNER BROS DISCOVERY,WARNER BROS DISCOVERY,"Warner Bros. Discovery, Inc.",WARNER BROS DISCOVERY INC,WARNER BROS DISCOVERY,Warner Bros Discovery Inc,WARNER BROS DISCOVERY INC,WARNER BROS DISCOVERY,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
WMT,WMT,WALMART INC,0000104169,WALMART INC,WALMART,Walmart Inc.,WALMART INC,WALMART,Walmart Inc,WALMART INC,WALMART,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
XYZ,XYZ,Block,0001512673,BLOCK,BLOCK,"Block, Inc.",BLOCK INC,BLOCK,Block Inc,BLOCK INC,BLOCK,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
AJG,AJG,ARTHUR J GALLAGHER + CO,0000354190,ARTHUR J GALLAGHER CO,ARTHUR J GALLAGHER,Arthur J. Gallagher & Co.,ARTHUR J GALLAGHER AND CO,ARTHUR J GALLAGHER AND,Arthur J Gallagher & Co,ARTHUR J GALLAGHER AND CO,ARTHUR J GALLAGHER AND,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
AOS,AOS,SMITH (A.O.) CORP,0000091142,SMITH A O CORP,SMITH A O,SMITH A O CORP,SMITH A O CORP,SMITH A O,A O Smith Corp,A O SMITH CORP,A O SMITH,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
BG,BG,Bunge,0001996862,BUNGE,BUNGE,Bunge Global SA,BUNGE GLOBAL SA,BUNGE GLOBAL,Bunge Global SA,BUNGE GLOBAL SA,BUNGE GLOBAL,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CBRE,CBRE,CBRE GROUP INC   A,0001138118,CBRE GROUP INC A,CBRE GROUP INC A,"CBRE GROUP, INC.",CBRE GROUP INC,CBRE GROUP,CBRE Group Inc,CBRE GROUP INC,CBRE GROUP,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CDNS,CDNS,CADENCE DESIGN SYS INC,0000813672,CADENCE DESIGN SYS INC,CADENCE DESIGN SYS,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS,Cadence Design Systems Inc,CADENCE DESIGN SYSTEMS INC,CADENCE DESIGN SYSTEMS,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CHD,CHD,CHURCH + DWIGHT CO INC,0000313927,CHURCH DWIGHT CO INC,CHURCH DWIGHT,CHURCH & DWIGHT CO INC /DE/,CHURCH AND DWIGHT CO INC DE,CHURCH AND DWIGHT CO INC DE,Church & Dwight Co Inc,CHURCH AND DWIGHT CO INC,CHURCH AND DWIGHT,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,0001043277,C H ROBINSON WORLDWIDE INC,C H ROBINSON WORLDWIDE,"C. H. ROBINSON WORLDWIDE, INC.",C H ROBINSON WORLDWIDE INC,C H ROBINSON WORLDWIDE,CH Robinson Worldwide Inc,CH ROBINSON WORLDWIDE INC,CH ROBINSON WORLDWIDE,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CHTR,CHTR,CHARTER COMMUNICATIONS INC A,0001091667,CHARTER COMMUNICATIONS INC A,CHARTER COMMUNICATIONS INC A,"CHARTER COMMUNICATIONS, INC. /MO/",CHARTER COMMUNICATIONS INC MO,CHARTER COMMUNICATIONS INC MO,Charter Communications Inc,CHARTER COMMUNICATIONS INC,CHARTER COMMUNICATIONS,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CRL,CRL,Charles River Laboratories Intl,0001100682,CHARLES RIVER LABORATORIES INTL,CHARLES RIVER LABORATORIES INTL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CHARLES RIVER LABORATORIES INTERNATIONAL INC,CHARLES RIVER LABORATORIES INTERNATIONAL,Charles River Laboratories International Inc,CHARLES RIVER LABORATORIES INTERNATIONAL INC,CHARLES RIVER LABORATORIES INTERNATIONAL,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
CTSH,CTSH,COGNIZANT TECH SOLUTIONS A,0001058290,COGNIZANT TECH SOLUTIONS A,COGNIZANT TECH SOLUTIONS A,COGNIZANT TECHNOLOGY SOLUTIONS CORP,COGNIZANT TECHNOLOGY SOLUTIONS CORP,COGNIZANT TECHNOLOGY SOLUTIONS,Cognizant Technology Solutions Corp,COGNIZANT TECHNOLOGY SOLUTIONS CORP,COGNIZANT TECHNOLOGY SOLUTIONS,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
DE,DE,DEERE + CO,0000315189,DEERE CO,DEERE,DEERE & CO,DEERE AND CO,DEERE AND,Deere & Co,DEERE AND CO,DEERE AND,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
EL,EL,ESTEE LAUDER COMPANIES CL A,0001001250,ESTEE LAUDER COMPANIES CL A,ESTEE LAUDER COMPANIES,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER COMPANIES,Estee Lauder Cos Inc/The,ESTEE LAUDER COS INC THE,ESTEE LAUDER COS INC THE,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
EXPD,EXPD,EXPEDITORS INTL WASH INC,0000746515,EXPEDITORS INTL WASH INC,EXPEDITORS INTL WASH,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON,Expeditors International of Washington Inc,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
FICO,FICO,Fair Isaac & Co,0000814547,FAIR ISAAC AND CO,FAIR ISAAC AND,FAIR ISAAC CORP,FAIR ISAAC CORP,FAIR ISAAC,Fair Isaac Corp,FAIR ISAAC CORP,FAIR ISAAC,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
FIS,FIS,FIDELITY NATIONAL INFO SERV,0001136893,FIDELITY NATIONAL INFO SERV,FIDELITY NATIONAL INFO SERV,"Fidelity National Information Services, Inc.",FIDELITY NATIONAL INFORMATION SERVICES INC,FIDELITY NATIONAL INFORMATION SERVICES,Fidelity National Information Services Inc,FIDELITY NATIONAL INFORMATION SERVICES INC,FIDELITY NATIONAL INFORMATION SERVICES,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,0001585689,HILTON WORLDWIDE HOLDINGS IN,HILTON WORLDWIDE HOLDINGS IN,Hilton Worldwide Holdings Inc.,HILTON WORLDWIDE HOLDINGS INC,HILTON WORLDWIDE HOLDINGS,Hilton Worldwide Holdings Inc,HILTON WORLDWIDE HOLDINGS INC,HILTON WORLDWIDE HOLDINGS,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
HST,HST,HOST HOTELS + RESORTS INC,0001070750,HOST HOTELS RESORTS INC,HOST HOTELS RESORTS,"HOST HOTELS & RESORTS, INC.",HOST HOTELS AND RESORTS INC,HOST HOTELS AND RESORTS,Host Hotels & Resorts Inc,HOST HOTELS AND RESORTS INC,HOST HOTELS AND RESORTS,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
IBM,IBM,INTL BUSINESS MACHINES CORP,0000051143,INTL BUSINESS MACHINES CORP,INTL BUSINESS MACHINES,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES,International Business Machines Corp,INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,0001571949,INTERCONTINENTAL EXCHANGE IN,INTERCONTINENTAL EXCHANGE IN,"Intercontinental Exchange, Inc.",INTERCONTINENTAL EXCHANGE INC,INTERCONTINENTAL EXCHANGE,Intercontinental Exchange Inc,INTERCONTINENTAL EXCHANGE INC,INTERCONTINENTAL EXCHANGE,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
IFF,IFF,INTL FLAVORS + FRAGRANCES,0000051253,INTL FLAVORS FRAGRANCES,INTL FLAVORS FRAGRANCES,INTERNATIONAL FLAVORS & FRAGRANCES INC,INTERNATIONAL FLAVORS AND FRAGRANCES INC,INTERNATIONAL FLAVORS AND FRAGRANCES,International Flavors & Fragrances Inc,INTERNATIONAL FLAVORS AND FRAGRANCES INC,INTERNATIONAL FLAVORS AND FRAGRANCES,1,0,0,0,0,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Project reference company name and historical NPORT name remain different under conservative legal-style normalization.,2,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
